F_1 (bot),F_2 (bot),F_1 (top),F_2 (top),elastic_energy,fracture_dissipation,undamaged_elastic_energy,external_work,"displacement 1 [0, 0.001, 0]","displacement 2 [0, 0.001, 0]","displacement 1 [0.0005, 0.00049, 0]","displacement 2 [0.0005, 0.00049, 0]","displacement 1 [0.0005, 0.00051, 0]","displacement 2 [0.0005, 0.00051, 0]"
0.0,0.0,0.0,0.0,0.0,0.04273997264787187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.58191861006222,-9843.66869851665,31.297965199577348,9770.223774613176,0.0002941090946095695,0.042739972742973864,0.00030468755887704495,0.00058894297250279,3.441593994176011e-11,6.00000092929173e-08,-1.4244615099492628e-08,2.512861066017811e-08,-1.4254441059251162e-08,3.48708975555104e-08
81.16222902459926,-19687.299109218762,62.592594157763315,19539.518864736,0.0011764335133472115,0.04273997417008439,0.0012187678443680025,0.002355660237246261,6.875808441462069e-11,1.200000006596688e-07,-2.8489127947104836e-08,5.025625817842137e-08,-2.8508828989718306e-08,6.974280451526327e-08
121.74450595121452,-29530.833636142437,93.88669831162451,29309.169797367747,0.0026469667709438033,0.04273998035721891,0.0027422791758334106,0.005300219165468864,1.031264152045897e-10,1.8000000077232819e-07,-4.273331688952062e-08,7.538232909093788e-08,-4.2762893525952396e-08,1.0461614339440729e-07
162.32624487078738,-39374.26291159848,125.18198507210559,39078.70014359617,0.004705697334086948,0.04273999702658089,0.004875291448601343,0.009422576371179976,1.3751183258677212e-10,2.4000000075405327e-07,-5.697710469472066e-08,1.0050607478737461e-07,-5.7016547651279145e-08,1.394918141464122e-07
202.91154646698632,-49217.562657158924,156.48086676205625,48848.052470935196,0.007352609192181617,0.042740032209275955,0.0076179054748410115,0.014722704180395412,1.718721995592822e-10,2.9999999995928e-07,-7.122006082891654e-08,1.2562636241640836e-07,-7.126936960093426e-08,1.743708409102545e-07
243.49436636515745,-59060.66245323699,187.77648370828928,58617.27610208227,0.010587681681511453,0.042740096262230874,0.010970241719978343,0.021200591594200388,2.062212506353175e-10,3.600000002718771e-07,-8.546237544302451e-08,1.5074264418508855e-07,-8.552153091493362e-08,2.0925380334434788e-07
284.07839380142303,-68903.5274360639,219.07290857960234,68386.24323807264,0.014410889385743276,0.04274020189449801,0.014932457047771073,0.02885618100348813,2.4061222899062285e-10,4.200000002668055e-07,-9.970381287632235e-08,1.7585414779389305e-07,-9.977282332947386e-08,2.4414143453555704e-07
324.6600417827634,-78746.0960018915,250.36931493929674,78154.9288110733,0.01882220227875699,0.04274036420246737,0.019504742597320865,0.037689430696242414,2.750168640349032e-10,4.799999993425978e-07,-1.1394420105250047e-07,2.0095990998843574e-07,-1.1402303156154581e-07,2.790347129547091e-07
365.24394468508285,-88588.36404154633,281.66682104927537,87923.3238024844,0.02382158554419031,0.04274060069227202,0.024687303451058146,0.04770030223484149,3.094270199879956e-10,5.399999996091181e-07,-1.2818336530676805e-07,2.260591651935636e-07,-1.2827204305551319e-07,3.139343395411411e-07
405.82776982333166,-98430.30670764149,312.9630651429254,97691.36243218966,0.029408999545405563,0.04274093134136358,0.030480391236457384,0.05888872202963042,3.438754798584688e-10,6.000000001195361e-07,-1.424211239149663e-07,2.511509343790822e-07,-1.4251957747844967e-07,3.488412108615025e-07
446.4126917315323,-108271.8417848927,344.261324175638,107459.0307464585,0.03558439970833706,0.04274137863125019,0.03688428224625978,0.07125464627064812,3.7835113122125257e-10,6.599999996860524e-07,-1.566573780475946e-07,2.76234539940842e-07,-1.5676561637930053e-07,3.8375612255075586e-07
486.99501417608974,-118112.94453709883,375.55860455538084,117226.26695836506,0.04234773645069642,0.042741967638306386,0.04389929718905553,0.08479797361245668,4.1279227987052623e-10,7.200000002609447e-07,-1.7089201862616427e-07,3.01308915302286e-07,-1.710099631047938e-07,4.1868003837692365e-07
527.581372473058,-127953.58386711814,406.85707262052455,126993.02335781258,0.0496989551111602,0.04274272601503916,0.0515257713601566,0.09951864354543533,4.473065504763338e-10,7.800000004637039e-07,-1.8512476879700926e-07,3.2637338749636065e-07,-1.8525244502273052e-07,4.536136349993826e-07
568.1660827283399,-137793.70795896486,438.1554747822394,136759.28200547065,0.05763799592814255,0.04274368415469814,0.05976409132463912,0.1154165694645034,4.817974196737359e-10,8.400000007326532e-07,-1.9935557318656903e-07,3.5142701125068673e-07,-1.9949294548306605e-07,4.885578692706591e-07
608.7542281637345,-147633.27757181617,469.45363398069867,146524.98452534992,0.06616479370455831,0.04274487523049882,0.06861468285277218,0.13249164841640984,5.163185663904679e-10,9.000000008094044e-07,-2.1358422096104908e-07,3.764688503676405e-07,-2.1373132896463288e-07,5.235136050505362e-07
