F_1 (bot),F_2 (bot),F_1 (top),F_2 (top),elastic_energy,fracture_dissipation,undamaged_elastic_energy,external_work,"displacement 1 [0, 0.001, 0]","displacement 2 [0, 0.001, 0]","displacement 1 [0.0005, 0.00049, 0]","displacement 2 [0.0005, 0.00049, 0]","displacement 1 [0.0005, 0.00051, 0]","displacement 2 [0.0005, 0.00051, 0]"
0.0,0.0,0.0,0.0,0.0,0.055571203042918904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.74422458547579,-9806.083973016339,33.946853275459596,9785.83968641139,0.0002930972798571908,0.05557120315959876,0.0003049495383746966,0.0005853358892687064,3.731450385082767e-12,5.999999025994402e-08,-1.4227760040761407e-08,2.443924233718299e-08,-1.4225572128020489e-08,3.556320952880466e-08
71.49167739977251,-19612.13020420557,67.87269268695448,19572.54004737823,0.0011723869685881854,0.05557120491037686,0.0012198162123743166,0.002341447843772899,7.381701138186471e-12,1.1999999815000086e-07,-2.8455186389753345e-08,4.8877453478652797e-08,-2.845093274767703e-08,7.112743474066817e-08
107.23616641303184,-29418.028880634476,101.8107140009729,29358.75661193263,0.002637860187044094,0.055571212500197045,0.0027446371193830753,0.005268252127776663,1.1088723320304368e-11,1.7999999996922263e-07,-4.268199771458086e-08,7.331380655912568e-08,-4.267562520813385e-08,1.0669349864279568e-07
142.98498802971054,-39223.85588574252,135.75002768178527,39144.74176919894,0.004689503068989663,0.05557123294672883,0.0048794843148737815,0.00936572231276585,1.4849860409391068e-11,2.399999984510063e-07,-5.6908196190162694e-08,9.774746053748035e-08,-5.689962408755251e-08,1.4226229162758638e-07
178.7316994800029,-49029.472760086086,169.6866754708119,48930.58482501467,0.007327295959476351,0.05557127609373068,0.007624450439361658,0.014633850530331238,1.8563689146417497e-11,2.9999999779538954e-07,-7.11334592696948e-08,1.2217757772370505e-07,-7.112278525360601e-08,1.7783461761990873e-07
214.4796069210723,-58834.828159193006,203.62438326084015,58716.21616995996,0.010551213431131832,0.05557135463229799,0.010979660876307187,0.021072595232746478,2.2328897737947417e-11,3.6000000011283675e-07,-8.535771896791262e-08,1.4660325132603655e-07,-8.534461238500166e-08,2.1341158318265485e-07
250.2270817855937,-68639.92047664292,237.56084278023806,68501.4869643952,0.014361224426258624,0.055571484123114766,0.01494526699526505,0.028681858128616487,2.6061319128111918e-11,4.199999996100524e-07,-9.958046229527449e-08,1.7102347304215077e-07,-9.956514337370855e-08,2.4899390622025386e-07
285.9749255532874,-78444.68369570095,271.4968524370783,78286.50693210897,0.018757292409952213,0.05557168303076714,0.01952145028065806,0.03746163819651314,2.979656061596064e-11,4.800000000671542e-07,-1.1380156361787966e-07,1.9543736828450345e-07,-1.1378402146479887e-07,2.8458259222616437e-07
321.71731014108354,-88249.07967955082,305.43784352721514,88071.10234186077,0.02373937464264966,0.05557197276052509,0.024708421042622206,0.04741180812271961,3.3573148054442735e-11,5.400000010939048e-07,-1.2802084695392755e-07,2.1984401845734552e-07,-1.280009627232239e-07,3.2017876851757004e-07
357.46230310177333,-98053.06553042402,339.3767768127573,97855.28394448271,0.029307422574112296,0.05557237769734726,0.03050641963662035,0.0585323104357341,3.730840013076019e-11,5.999999995087293e-07,-1.422380645358413e-07,2.4424250075688814e-07,-1.4221586369770825e-07,3.5578300924379295e-07
393.208991006451,-107856.50772853091,373.3136656198092,107638.9587005982,0.035461381587301666,0.05557292530120233,0.03691574398598551,0.07082302995540075,4.100981609609492e-11,6.599999994760477e-07,-1.5645291789630008e-07,2.6863171324033545e-07,-1.564284142253971e-07,3.9139661789829404e-07
428.95613073890814,-117659.44322104301,407.249896519692,117422.11388965794,0.04220119139134497,0.05557364602835386,0.04393665800881771,0.0842838700493754,4.475773912053587e-11,7.200000004446871e-07,-1.706651121349006e-07,2.9301093210735967e-07,-1.7063831290782465e-07,4.2702020363598385e-07
464.70357375298664,-127461.81249005793,441.1864634825916,127204.69298753087,0.049526785500524126,0.05557457357105489,0.05156951749131464,0.09891471301242084,4.850768086795592e-11,7.800000002622245e-07,-1.8487453656753373e-07,3.1737911567232845e-07,-1.8484536369469323e-07,4.626549517179465e-07
500.44860927308434,-137263.62355855908,475.1237015546967,136986.65191865317,0.05743809122941263,0.05557574487411654,0.05981471207969459,0.11471541187551865,5.2257371191790165e-11,8.399999995550323e-07,-1.9908092327516235e-07,3.417349838997465e-07,-1.9904931207066334e-07,4.983020919712716e-07
536.1949167186077,-147064.70948361413,509.05959098353355,146767.9204131121,0.06593502901760587,0.05557720003421318,0.06867261881882994,0.13168585736217886,5.599838657796949e-11,8.999999989838077e-07,-2.1328399839225462e-07,3.660780674610598e-07,-2.1324994851445041e-07,5.339620863933367e-07
571.9417221000725,-156864.9905130225,542.9950922870205,156548.37780967625,0.07501747755267552,0.05557901641639561,0.07814384465935746,0.1498257957567263,5.975667775732133e-11,9.599999987228866e-07,-2.2748320143823212e-07,3.904058691836236e-07,-2.2744670254622017e-07,5.696374379510444e-07
607.6895644565698,-166664.44097417223,576.9295484602551,166328.00432051552,0.08468536487347693,0.055581217271943345,0.08822879404195445,0.16913509984607028,6.355787838824054e-11,1.0200000010356496e-06,-2.416783105910822e-07,4.147180130721659e-07,-2.4163920254689974e-07,6.053285739918505e-07
643.4365703129159,-176463.0656824106,610.8646598153474,176106.78940732457,0.09493859264313896,0.05558385220475668,0.09892798600490532,0.18961362750551594,6.733316786269943e-11,1.0800000008747636e-06,-2.5586952127727013e-07,4.3901399065418274e-07,-2.558278064047183e-07,6.410359758892038e-07
679.184315172252,-186260.78191120594,644.7987180355655,185884.6559310325,0.10577705213356155,0.0555869768660164,0.1102420032900144,0.21126117134802216,7.113345436414714e-11,1.14000000123125e-06,-2.70056316962576e-07,4.632924887090644e-07,-2.7001197155889417e-07,6.767609725316771e-07
714.9313121891217,-196057.51918421348,678.7322913483446,195661.546997002,0.11720062776363196,0.055590650784087724,0.12217147321364251,0.23407751940882898,7.49128608843765e-11,1.2000000002463953e-06,-2.8423844069374763e-07,4.87552374747768e-07,-2.841914145041413e-07,7.125046961496266e-07
