F_1 (bot_pin),F_2 (bot_pin),F_1 (top_pin),F_2 (top_pin),elastic_energy,fracture_dissipation,undamaged_elastic_energy,external_work,displacement 1 [0.      0.02115 0.     ],displacement 2 [0.      0.02115 0.     ],displacement 1 [0.    0.017 0.   ],displacement 2 [0.    0.017 0.   ]
-29274.985544380488,-447289.576302293,130101.68693484191,409034.19295139157,20.038068130702968,9.132097888809378,86.64293979674248,36.75169911173299,3.1860479591490715e-06,-1.5489938448146695e-06,1.215161233174784e-05,-0.00011187443487238019
-29226.756387407473,-446601.9515876165,129890.33385078303,408416.71031988144,20.024473897614932,9.180946415739667,93.80812785585208,36.72712955846581,3.1812801639103026e-06,-1.5466465393935625e-06,1.2150240021768427e-05,-0.00011194966446730248
-29177.210708361643,-445896.0622835619,129673.19127116996,407783.11715813493,20.01158459285923,9.232243889947355,101.55079148509546,36.70386155336648,3.1763891139678884e-06,-1.5442379467896657e-06,1.2149336980435985e-05,-0.00011203262954283877
-29114.903171063583,-444991.23146255,129399.24482873015,406966.3474068931,19.976956903204936,9.279615894937692,108.93080953552987,36.64068469994176,3.1700741340364003e-06,-1.541139453998399e-06,1.2141358594756024e-05,-0.0001120457616375123
-29061.438362673616,-444224.5855815359,129164.78841259974,406276.66902934713,19.958064256254065,9.330427711531836,117.1400430376466,36.606398428119356,3.1647534688529215e-06,-1.53852239241974e-06,1.2138365175839688e-05,-0.0001121111028176225
-28987.16866461563,-443135.580713936,128837.6743286433,405291.0318613893,19.906116995636747,9.377095687779372,124.8208131608569,36.511446905107505,3.1571280937066584e-06,-1.5347874048211063e-06,1.2124966275569137e-05,-0.00011207397208760388
-28929.010831775056,-442294.45644110796,128582.25447519508,404532.51467606326,19.878366255139138,9.425720094227454,133.256675123312,36.460885197268844,3.151273721608416e-06,-1.5319123053556329e-06,1.2119074411080618e-05,-0.00011210957565022445
-28877.838870922064,-441558.7274634213,128357.64768197096,403870.47568782,19.85946666421128,9.47374667473104,141.91044250100163,36.42654361557554,3.1461668127967462e-06,-1.5294010588794715e-06,1.211614196415203e-05,-0.00011216882100905114
-28845.711436926227,-441116.32820652664,128217.86230845578,403477.1295213995,19.86928474698161,9.524182497556682,151.44919918235283,36.44488801279809,3.1431569065533704e-06,-1.527907875300649e-06,1.212204932079e-05,-0.00011231499051366674
-28822.411296624134,-440811.7944178895,128117.44772580973,403210.6897163814,19.89497295243864,9.578197171644346,161.93668089258034,36.49235949662138,3.1411391952842277e-06,-1.5268950116735864e-06,1.2133107459677606e-05,-0.00011251451090847072
-28785.224533728695,-440289.77664495225,127955.03078072588,402744.0749282089,19.896089559250502,9.627224780419432,171.63842262341586,36.49471727619963,3.137559409794219e-06,-1.5251258471237378e-06,1.2136339496024299e-05,-0.00011263299627437844
-28770.60179401482,-440114.7918505501,127892.89333083195,402595.6882063887,19.931220859332203,9.678986651928824,182.37049897670943,36.55948191499113,3.1364571876220853e-06,-1.5245595660899638e-06,1.2150372426793139e-05,-0.00011285432081926312
-28738.979343421546,-439680.33646954654,127755.46353095546,402209.53409723524,19.943182065640222,9.731153786829024,193.1854063856493,36.58174546467789,3.1335123441143084e-06,-1.5230973975613896e-06,1.2156949090994657e-05,-0.00011301108231825773
-28692.331994783388,-439013.04355115764,127551.22786070828,401609.3095163811,19.930756672502834,9.780062206413511,203.49806902189394,36.55925938258722,3.1289026370543117e-06,-1.5208279239754616e-06,1.215560907353491e-05,-0.00011309124388282857
-28643.96126903832,-438319.8498164021,127339.26781375482,400985.7616042734,19.91711187278021,9.83016850909811,214.4259907387196,36.53453542777874,3.124110864125342e-06,-1.5184693714100183e-06,1.215416422414563e-05,-0.00011317090500824036
-28590.537507443056,-437548.98651277844,127105.09677603212,400290.4326135907,19.895581858691376,9.879494009966718,225.44146215277897,36.49534032217799,3.118768656975463e-06,-1.5158437333833621e-06,1.2149772066561997e-05,-0.00011322645236574316
-28538.27885452217,-436794.2731953077,126875.87024703954,399609.8461021903,19.874499873894592,9.927819590488754,236.5824612219862,36.45695453188474,3.113537259169931e-06,-1.513272660969669e-06,1.214572124244588e-05,-0.00011328101755742143
-28489.418518787457,-436088.9393373317,126661.5028949125,398974.0603401141,19.855699131199128,9.973927444860877,247.55657990818762,36.4227322082846,3.108650548720126e-06,-1.5108705209844744e-06,1.2142414965243435e-05,-0.00011333693824283717
-28458.360154875758,-435659.2193247768,126526.42639916399,398591.30161664553,19.865830070935054,10.023974925264632,259.9782462466131,36.44159877366588,3.1057390098185283e-06,-1.5094261941436903e-06,1.214830213135285e-05,-0.00011348492665219507
-28415.223771826753,-435044.79332088947,126337.7409702802,398039.4485989066,19.859498959821845,10.074478997458966,272.4814344704751,36.43026178611492,3.10151458108595e-06,-1.5073435745723135e-06,1.214906584435988e-05,-0.00011358709835935488
-28360.99272527388,-434259.13947597623,126099.76542323155,397330.33868848847,19.83601601721797,10.123493164278106,284.7329995588498,36.387458683114055,3.096067843593502e-06,-1.5046678147932827e-06,1.2144280399998326e-05,-0.00011363683523837505
-28314.031592812626,-433585.14617827325,125893.97769921471,396723.8916061818,19.823952314843076,10.173779548712872,297.81985409794083,36.36559448229183,3.091418532514567e-06,-1.5023790111719845e-06,1.2143386866597861e-05,-0.00011372243912574722
-28272.8017244271,-432997.16157905466,125713.6588827312,396195.51346175635,19.817847220347986,10.222182498253913,310.8365902583209,36.354646302770995,3.0873786485784815e-06,-1.5003875404862742e-06,1.2144039059111035e-05,-0.0001138207914896924
-28239.80318582659,-432536.5527013834,125569.99439004055,395784.0964641227,19.825325092984322,10.272598035060765,324.8305865312844,36.368621866637916,3.0842528869564923e-06,-1.4988392613443288e-06,1.2149053033588312e-05,-0.00011396310899828611
-28186.49029295798,-431763.27340124856,125335.97323809098,395086.09492977615,19.802647408497766,10.321553649114726,338.2081875609801,36.3272645833097,3.078895679843356e-06,-1.4962074658166467e-06,1.2144636014126264e-05,-0.00011401536700814077
-28135.51242542332,-431024.9728641541,125112.27276204503,394419.96935637423,19.782649620157763,10.370007442169534,351.8103507322411,36.29081840738914,3.0737863912088753e-06,-1.493696529276469e-06,1.2141049953353914e-05,-0.00011407428052882
-28087.915585733877,-430339.37921479973,124903.62908759079,393802.4066759001,19.76899467113758,10.420040536304688,366.23677330522906,36.26600813493676,3.069057429239703e-06,-1.4913696168772438e-06,1.2139598994424977e-05,-0.00011415539762486337
-28036.436661316577,-429594.3778373013,124677.94678534192,393129.986400875,19.749631444974437,10.469881828602906,380.8649687888983,36.230727336325735,3.063908520805809e-06,-1.488838767836976e-06,1.2135979466875754e-05,-0.00011421972065540467
-27988.201335358026,-428897.8643806707,124466.481229039,392502.01075963717,19.734156109354576,10.519174508056027,395.77081115298864,36.20255802725643,3.0591021955939476e-06,-1.4864748300333933e-06,1.2133791507943235e-05,-0.00011429408867285527
-27945.4815785659,-428283.5154368156,124279.32745308825,391948.85565748956,19.724065024355784,10.566305327041341,410.4455919347822,36.18425527102981,3.0548743247241867e-06,-1.484393326706918e-06,1.2133274670889098e-05,-0.00011437896738264908
-27916.744244572674,-427886.27874931565,124154.51357841093,391595.14943266846,19.737702716995553,10.617277327924116,426.9649659440455,36.209495782212656,3.052206618292597e-06,-1.4830678526535002e-06,1.2140367058807034e-05,-0.00011454208795902041
-27870.89542626487,-427225.8764192266,123953.64872988532,391000.1673047716,19.72608698608453,10.667330482784491,442.8858369890394,36.18839957392724,3.047661693079575e-06,-1.480830806948583e-06,1.2139455699576408e-05,-0.00011462982610953084
-27817.919564492182,-426454.8715439684,123721.05835686257,390303.52291372966,19.702818424332524,10.715963263171338,458.4619991071412,36.14591635490027,3.042324717369347e-06,-1.4782097850062317e-06,1.2134773189619917e-05,-0.00011468041876381722
-27771.585541487613,-425785.7768789698,123517.89882826307,389700.48522193317,19.689820156653212,10.765501250937776,474.92119031348415,36.122268458606726,3.0377159257108332e-06,-1.4759421920016615e-06,1.2133556427001992e-05,-0.00011476322760704832
-27733.198787467612,-425237.83634715993,123350.08764598644,389208.0749293545,19.687380677519304,10.814433112720463,491.77131889061366,36.11798308429268,3.033970305155577e-06,-1.4740944260805402e-06,1.2135485163299699e-05,-0.00011487549631995482
-27701.765869213,-424798.04181222204,123213.29474103992,388815.0719591291,19.697228696107626,10.865736198992577,509.96574998279203,36.13624482934933,3.0310040364770033e-06,-1.4726240874447684e-06,1.2141396953247522e-05,-0.0001150295389433195
-27648.73479752734,-424025.00201237935,122980.3852024491,388116.40430439566,19.67384971392238,10.914738746355779,526.7985237117928,36.09353388405506,3.0256550569789385e-06,-1.4699974493875424e-06,1.2136786119914263e-05,-0.00011508106420177808
-27598.27775784195,-423290.70139549684,122758.84251547515,387453.12930171826,19.653621786694078,10.963331003666637,543.8924455181289,36.05660221381914,3.0205807189791617e-06,-1.4675045799097887e-06,1.2133207049692582e-05,-0.00011514094279896523
-27548.656613916115,-422569.4585997533,122541.07668331396,386801.78863732755,19.635117859753294,11.012491306603264,561.5373084291508,36.022826173083104,3.0156024103913907e-06,-1.4650581268087808e-06,1.2130127876463425e-05,-0.00011520737544717667
-27496.48551983583,-421808.94529487344,122312.08517615698,386114.1803178531,19.61270518391138,11.061439670430213,579.3697442291657,35.98188059963909,3.0103456694550585e-06,-1.4624765768362705e-06,1.2125595531099403e-05,-0.000115261964079847
-27446.783571039006,-421086.3062124859,122093.96756690805,385461.5565939818,19.594637749228188,11.111258959210032,598.0188663938632,35.948897622412524,3.005360970058681e-06,-1.4600268174628285e-06,1.2122706713739343e-05,-0.00011533158101356765
-27404.79290189297,-420479.59677434026,121909.91446853682,384914.7059564527,19.585014057093247,11.15873468199945,616.3465686999566,35.93138697534779,3.001194664151772e-06,-1.4579760738095638e-06,1.2122463735101455e-05,-0.00011542042392779581
-27377.062494008376,-420094.5743823559,121789.46798103943,384571.57154239935,19.600147959245017,11.210434985236153,637.2446161420619,35.9593081233334,2.998624118595858e-06,-1.4566983130541393e-06,1.2130232051609618e-05,-0.00011559278455878041
-27328.19904828186,-419383.6164651731,121575.05053858049,383929.3343999804,19.582670465712496,11.259975524296193,656.5059238865973,35.92738822002979,2.993723373019195e-06,-1.4542898088709185e-06,1.2127482226701163e-05,-0.00011566376748550268
-27278.49892645464,-418658.6040624515,121356.78474537018,383274.0747900279,19.562830683848205,11.308489456626125,675.6550535869308,35.891130019927225,2.988718257181016e-06,-1.4518312779499151e-06,1.2124050123975128e-05,-0.00011572539880914313
-27235.092131690915,-418030.3298057967,121166.48564551887,382707.5465554526,19.55274292267363,11.357769759255836,695.7913645562453,35.87275425296412,2.9844056900681547e-06,-1.4497088521344769e-06,1.2123791965723755e-05,-0.00011581790409569012
-27197.35823708791,-417489.24806058605,121001.48590045999,382220.76580635295,19.551134397310264,11.407432793762345,716.743270628657,35.86993502272139,2.9807177321927314e-06,-1.4478897166648456e-06,1.2126108696720199e-05,-0.00011593665049956805
-27161.738455634786,-416981.80743147293,120845.95549917844,381765.1569677723,19.554744009200746,11.459253575751356,739.0404088302108,35.87668415931745,2.977277358842444e-06,-1.4461897618387564e-06,1.2130251863113464e-05,-0.0001160763771172499
-27106.868666858525,-416176.3763797969,120604.70956671072,381035.9258520482,19.527227672111113,11.50791074586135,759.151072517418,35.82631598547997,2.971700997052333e-06,-1.4434540668084977e-06,1.2124351169284767e-05,-0.00011611597728026512
-27057.664334156576,-415457.5612734753,120388.55258582486,380386.1652816957,19.508054624146197,11.556822725544864,780.0037252053727,35.79125474592057,2.9667424061980335e-06,-1.4410184270689981e-06,1.2121274697545441e-05,-0.00011618115296364162
-27007.774391951978,-414727.9519971275,120169.42188328212,379726.25334180275,19.487531562903317,11.605449843640818,800.9885572501028,35.75371086894927,2.961707504792558e-06,-1.438545949239569e-06,1.2117574818779389e-05,-0.00011624170919185513
-26958.554738221806,-414008.4789122728,119953.3286649839,379075.4509317567,19.4678858651692,11.654041721443482,822.373713584787,35.71777264532856,2.956746147617719e-06,-1.4361092865662815e-06,1.2114033620580101e-05,-0.00011630494078322142
-26910.783070063593,-413311.3955583797,119743.58645390024,378445.48912563676,19.45140925005681,11.703751324472924,844.7478354721123,35.68763994995067,2.9519475127724636e-06,-1.4337511584534062e-06,1.211179876011326e-05,-0.00011638056536632913
-26870.520322242315,-412728.1497302976,119567.13015936257,377919.4794993845,19.444059374601334,11.751896115371158,867.1268972798811,35.674242585198655,2.9479560175187535e-06,-1.4317860199698766e-06,1.2112371828671145e-05,-0.00011647972699221158
-26839.03068326379,-412282.04920205136,119429.83466902268,377519.77740435547,19.45350686378681,11.804029671166946,892.2890226941801,35.69166583628994,2.9449572256042758e-06,-1.4303009733145975e-06,1.211857690696345e-05,-0.00011663938361462834
-26789.70313220361,-411559.84580993914,119213.18461886354,376866.3663726607,19.433787684914705,11.853078300417307,914.984025267969,35.655567310870914,2.9399788179589005e-06,-1.4278561937290272e-06,1.2115148353887036e-05,-0.00011670397258143547
-26742.472703794614,-410869.07273701037,119005.71837933818,376241.8003265283,19.416661080395052,11.901786206841132,937.9943780155776,35.624223047430206,2.9352220836828238e-06,-1.4255193834029624e-06,1.2112733081202748e-05,-0.00011677564514250743
-26703.322486323654,-410302.1877046426,118834.17189566104,375730.69845924166,19.41133038236054,11.950629786649253,962.0011097102173,35.61451084258421,2.9313505468156224e-06,-1.4236125065126697e-06,1.2114067161920195e-05,-0.0001168832757555546
