a,G,F_imp,cmod_imp,l,F,cmod,fracture_dissipation
0.0005,inf,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,15843.02128618005,-10288.703174390632,0.0002503020315111506,0.42502630731280017,-4372.969517248735,0.00010638494816607649,0.057240000000000006
0.003046875,17473.932255368964,-10261.887873029009,0.000269472066527047,0.40470585814536064,-4153.046137845675,0.00010905692393003226,0.0728915625
0.00359375,19300.284588568145,-10213.266175119104,0.00029060372826742906,0.3850817690529597,-3932.9426065236203,0.00011190619777460718,0.08854312499999999
0.004140625,21374.85234565645,-10315.653447324361,0.00031379709278418153,0.36591756143604287,-3774.6787540642395,0.00011482386697730739,0.10419468750000001
0.004687500000000001,23856.524174544906,-10309.435258527415,0.00033970640223107896,0.3463627909312285,-3570.804769068367,0.00011766165757396302,0.11984625000000002
0.005234375,26669.0096834893,-10187.065635971912,0.0003684914388870951,0.3275905537678862,-3337.186472957843,0.00012071431452374868,0.13549781250000004
0.00578125,29974.19193283205,-10072.4782810667,0.00040052482414901154,0.3090018451665849,-3112.414374249962,0.0001237629096970665,0.151149375
0.006328125,33868.05950211804,-10168.110530215172,0.0004366733576760485,0.2906964027997653,-2955.8331544039643,0.00012693937427492256,0.16680093750000002
0.006875000000000001,38508.84281875999,-10175.481310721052,0.00047762695361176994,0.27261803336573703,-2774.0197034785856,0.00013020972077610883,0.18245250000000002
0.007421875000000001,43998.211554786685,-10283.43969847982,0.0005239651159969602,0.25504528719783887,-2622.742831280443,0.00013363483349109368,0.19810406250000004
0.00796875,50651.45069733335,-10349.136066959256,0.0005772932524661945,0.2377053029650149,-2460.044524222713,0.00013722566747713562,0.213755625
0.008515625,58774.76241145067,-10304.798682660086,0.0006387101392196512,0.22066800749470264,-2273.939392936638,0.00014094289378826456,0.22940718750000003
0.009062500000000001,68494.27794113582,-10325.22974350046,0.0007098076166014736,0.20441260311678205,-2110.607089647753,0.00014509362262162602,0.24505875000000005
0.009609375000000002,80760.28248522883,-10311.38528769972,0.0007934654975026864,0.1882503966868503,-1941.1223708004245,0.00014937019466220976,0.26071031250000004
0.01015625,95971.44096662868,-10307.310070249803,0.0008920927405510751,0.1726886549770007,-1779.955512462333,0.00015405429548051163,0.276361875
0.010703125,115120.27603340623,-10299.57216996902,0.00100923087219474,0.15767357096912915,-1623.9703234932779,0.00015912903555123344,0.29201343750000003
0.011250000000000001,139692.98139615156,-10259.681068047847,0.001151213534429704,0.1431355534263803,-1468.5251276531849,0.00016477958636253499,0.307665
0.011796875000000002,171446.66813810726,-10102.18439104786,0.00132398527231318,0.1292023134186303,-1305.2255939049605,0.0001710619601150581,0.32331656250000007
0.012343750000000002,213778.97674994657,-10260.410036874815,0.0015371959253672244,0.1157050508970143,-1187.1812655408369,0.0001778613327832977,0.3389681250000001
0.012890625000000001,269742.9146600825,-10026.948716430457,0.0018030207486861567,0.10300535228512483,-1032.8293848807996,0.0001857207873958071,0.35461968750000006
0.013437500000000002,347869.2527378929,-10333.268027459446,0.0021448637731716577,0.09070407370974398,-937.2695048252224,0.00019454788177912164,0.37027125000000005
0.013984375000000002,456732.979700466,-10391.39544729484,0.002585924337054656,0.07915960685263539,-822.5787782581249,0.00020470075387190838,0.38592281250000005
0.01453125,614744.9117477521,-10338.067456951389,0.0031736481411650127,0.0682318808993866,-705.3857874525316,0.00021654398198453083,0.4015743750000001
0.015078125000000001,853068.561727441,-10313.811668225751,0.003974959044502737,0.05792190622230649,-597.3956322415024,0.00023023720501319652,0.4172259375000001
0.015625,1224363.2902519435,-10306.299388044985,0.005105181952859629,0.04834812817817717,-498.29028385586787,0.0002468259914297742,0.4328775
0.016171875000000002,1849769.6958989364,-10300.559221785521,0.006775342449811143,0.039334712893238415,-405.16953962873276,0.00026650615001669195,0.44852906250000013
0.01671875,2957379.0654784013,-10213.400240093824,0.00935893872238238,0.031108660946411133,-317.7252051790729,0.0002911440515328317,0.46418062500000007
0.017265625,5116666.204701016,-10249.302104508151,0.013639966016733401,0.023650551467218485,-242.40164692574078,0.0003225927182898644,0.4798321875
0.017812500000000002,10008777.662816236,-10185.89701402008,0.02157428682021259,0.016910026718085648,-172.24379065474838,0.00036482176655343795,0.49548375000000006
0.018359375,23705169.29384799,-10177.56309530344,0.038806996752041856,0.010987864220079772,-111.829681382489,0.00042640601110051265,0.5111353125
0.01890625,73849091.35950096,-10256.842098185996,0.08491542844151598,0.006225327973944525,-63.852206038169136,0.000528626392096454,0.526786875
0.019453125,600662584.2808651,-10224.26851062916,0.3437109702683821,0.002182828043052872,-22.31782002470375,0.0007502619446067364,0.5424384375000001
