F_1 (bot_pin),F_2 (bot_pin),F_1 (top_pin),F_2 (top_pin),elastic_energy,fracture_dissipation,undamaged_elastic_energy,external_work,displacement 1 [0.      0.02115 0.     ],displacement 2 [0.      0.02115 0.     ],displacement 1 [0.    0.017 0.   ],displacement 2 [0.    0.017 0.   ]
0.0,0.0,0.0,0.0,0.0,8.24910312857487,0.0,0.0,0.0,0.0,0.0,0.0
-2.193840102688902,-110.25780405303513,29.649401081276853,98.99477813871994,1.1260679391281173e-06,8.249103128574859,1.1775494591285835e-06,2.0812900354696025e-06,7.793384659796356e-10,-3.785264308721475e-10,2.8729576913242845e-09,-2.5968951822070053e-08
-6849.7874586378675,-344345.73920756043,92578.95284213527,309194.1574982471,11.047282736330194,8.285756872527951,11.818036162798746,20.418810521549943,2.433991273228132e-06,-1.1821452990819906e-06,9.002044189039217e-06,-8.153961731310942e-05
-8827.101376956449,-443931.8374623039,119316.03525108004,398663.5847599016,18.537855026877107,8.437207578846067,21.196329774834307,34.26462616244598,3.13817673115333e-06,-1.524045668769828e-06,1.1668578050918115e-05,-0.00010605426619825974
-9222.667507152142,-464000.6094931456,124677.11049603361,416730.2082759923,20.432268395446826,8.615320848387698,26.553965624831328,37.76707639244257,3.280475395996433e-06,-1.5930422222329416e-06,1.2255567688561016e-05,-0.00011175831526798598
-9227.776453562818,-464340.03005285736,124754.62234576835,417049.35969750513,20.54431792495143,8.699212367396047,29.724443314964635,37.97453089713188,3.2831477908107807e-06,-1.5942882132566015e-06,1.2286335075943573e-05,-0.00011225414569700576
-9186.559811673991,-462338.08608282084,124203.86191222028,415268.65232856135,20.44317224106424,8.776546951793842,34.01178905767467,37.78792453657523,3.2692140868449218e-06,-1.587475115232074e-06,1.2257617475008463e-05,-0.00011215242441990807
-9152.794028679788,-460726.8136836726,123754.28428672682,413847.2416548863,20.397359573069664,8.874775722238736,40.613959825592836,37.703704232544254,3.2580685380248488e-06,-1.582004216230301e-06,1.2249644666561626e-05,-0.00011225015698233795
-9152.15623757383,-460767.8718647058,123751.50593732308,413905.1244206977,20.481777026386265,8.956845623263488,46.467494596233394,37.8601190772647,3.2585669219758834e-06,-1.582197320834315e-06,1.2279438714096456e-05,-0.00011266944587177169
-9148.45334541058,-460642.0500224566,123707.37054539385,413804.64438586717,20.53476745229383,9.02223598154946,51.54576459918378,37.958312158471024,3.2578810479771446e-06,-1.5818247542158054e-06,1.2294983711650006e-05,-0.00011296427247133058
-9140.099722143983,-460275.0830513409,123600.39273584267,413482.8327815566,20.556961724098322,9.078300942336247,56.5386403767654,37.99951444300166,3.255486646716018e-06,-1.580627862233495e-06,1.2298592330867013e-05,-0.00011315332234962681
-9126.484251645728,-459674.3241131989,123425.76156206109,412955.52874137217,20.590889129709346,9.167761729483262,64.549643335984,38.06250145271722,3.2515578162849387e-06,-1.578665808828588e-06,1.2303930992969822e-05,-0.0001134511963904024
-9096.38604605704,-458264.9499775461,123031.13710552796,411702.97157450434,20.57445354124315,9.280042369929184,74.54838225821828,38.032416486564045,3.242008526525023e-06,-1.5739611502026732e-06,1.2291297548668594e-05,-0.00011366304739306938
-9067.119910485468,-456883.4511646464,122645.60523190445,410476.64250657224,20.549555278849454,9.381243781797115,84.22630229500734,37.98667496946844,3.2325953647184338e-06,-1.5693301824492988e-06,1.227967718342236e-05,-0.00011382667460129773
-9027.107378740191,-454947.1639603266,122112.26457209642,408755.0375923479,20.46577371595397,9.473230473695436,93.5481326412929,37.83210661866281,3.21919110582295e-06,-1.56276822788648e-06,1.2255584737803977e-05,-0.00011380610216220587
-8987.9089402083,-453032.1602251142,121588.10070572536,407047.89859890117,20.362374786046285,9.543185416668134,101.34779757190925,37.641180084660014,3.2058715971925813e-06,-1.5562606164821338e-06,1.222517175606881e-05,-0.00011368000071821093
-8956.975137782823,-451566.303061949,121177.69769315842,405757.6681905214,20.342080953503768,9.656410191839198,115.09933933971396,37.604052676357014,3.195824678627636e-06,-1.5513172426580128e-06,1.2225419414686152e-05,-0.00011388642364846552
-8947.219269090618,-451175.359857672,121053.66365606234,405439.0935343004,20.431833061554286,9.78314091421142,131.3939109607266,37.77038576161749,3.193395622446987e-06,-1.550065062955908e-06,1.2262609036370424e-05,-0.00011443280865643148
-8923.520805383716,-450077.14342471433,120742.32891574965,404476.5780188163,20.448840802489162,9.901667124440516,146.83748274828756,37.80217261209054,3.1859960272374294e-06,-1.5464044712442986e-06,1.2271436669360113e-05,-0.00011475682567471513
-8890.697505813161,-448497.3350676543,120306.05105410033,403073.6649350622,20.39581067276458,9.993606214867489,159.2213272668261,37.70433790687627,3.1751247707384126e-06,-1.5410741594851872e-06,1.2256513787644675e-05,-0.00011482313988567892
-8866.528170748717,-447379.3267612616,119987.8127314748,402099.4550996018,20.422961500779568,10.124474574660022,178.28612677532934,37.75486904397736,3.1675935558841025e-06,-1.5373440724368505e-06,1.2273391691222918e-05,-0.00011520655123070138
-8836.560565897575,-445941.6959746531,119588.15559588329,400832.87113661703,20.39011150029404,10.224159287306808,193.63670900481281,37.69442274294224,3.157688436756117e-06,-1.5324804078066294e-06,1.2272848901693786e-05,-0.0001153485280760595
-8830.265082706996,-445693.8843679537,119508.63124708693,400633.5430657058,20.460428893674823,10.318310775006422,209.83535048377553,37.824653656958866,3.156196853340942e-06,-1.531703468809543e-06,1.2302344781144868e-05,-0.00011576959341220289
-8807.882700901635,-444627.26526702096,119209.7382403024,399701.09976298484,20.45156252589061,10.40845612361094,224.89279311399437,37.808526650461026,3.1488603167077414e-06,-1.5280931944073467e-06,1.2312148420311984e-05,-0.00011595728604989132
-8778.874419066555,-443214.2284362129,118820.49285074903,398452.07526151894,20.39450365593686,10.482173486909351,237.67584952658427,37.70325484554683,3.139035065857141e-06,-1.5232843827557194e-06,1.2305034690009498e-05,-0.00011596994553082909
-8748.42990699862,-441736.1608694468,118413.02253209322,397144.7818088689,20.340671365017513,10.565303420345113,252.859719457343,37.603925000024724,3.1287976752376945e-06,-1.5182701274550078e-06,1.2297727681957948e-05,-0.0001160143370782319
-8725.659726804199,-440665.65889093606,118112.90916950279,396202.81153451157,20.346638320257824,10.67140449004499,273.7083980833103,37.61512101046797,3.121572472538772e-06,-1.514704091641491e-06,1.2303714206649673e-05,-0.00011628447427050454
-8720.474145679693,-440471.39463189134,118049.98630767249,396043.9974604333,20.41759581281428,10.761552541760059,292.9534054618621,37.74639425282975,3.1205104594148525e-06,-1.5141379173523677e-06,1.2327255211023266e-05,-0.0001167027071962484
-8704.164039628557,-439717.7801798788,117836.49301715645,395384.3897818774,20.442519072996426,10.85775384230264,313.0851122542626,37.792577214946,3.1154980095485753e-06,-1.5116520187537791e-06,1.2338515186733832e-05,-0.00011700396741979379
-8668.064621162095,-437991.8904512262,117358.25379299751,393856.751832492,20.415135513987657,10.992729471652483,341.58761731052965,37.74207025134366,3.1037388508320076e-06,-1.505871206387056e-06,1.2334784845854662e-05,-0.00011724950390075767
-8642.304922841715,-436777.1425019329,117021.38206847932,392774.1316674042,20.411146039060267,11.104105940185475,366.1624911913955,37.73464113670483,3.0956001208022305e-06,-1.5018595936989384e-06,1.232613019922103e-05,-0.00011750601734895083
-8593.500615463276,-434386.01206246053,116370.89246272549,390632.82751418196,20.284316386528474,11.202260892357778,386.7585540041363,37.50012201498754,3.079068769828478e-06,-1.4937839759235586e-06,1.228182691234356e-05,-0.00011737745860207905
-8559.781758928417,-432759.1916757519,115923.60882291207,389185.88000744313,20.239003979759694,11.310334197886664,412.14933016108097,37.416358522650924,3.0679495944064136e-06,-1.4883295137257501e-06,1.2268791460179441e-05,-0.0001175089936814236
-8519.315817174285,-430815.20152931625,115387.78625976978,387459.5767829839,20.200060078957495,11.455577478960471,446.8521216662609,37.34433573819477,3.0547181803403197e-06,-1.4818306716850361e-06,1.225893320232128e-05,-0.00011774944277457545
-8465.509104620334,-428173.46729407494,114668.25019307144,385102.8905683576,20.067363015730002,11.571899743151647,473.941597490777,37.09901251481311,3.0364223854813316e-06,-1.4728915937651437e-06,1.222237210510864e-05,-0.00011764702795167637
-8439.392935784348,-426911.47380290437,114320.48644849483,383986.54367403383,20.03943907785651,11.663272311724311,497.8915089828833,37.04739824102,3.027786272525584e-06,-1.4686528032774582e-06,1.2221282780704874e-05,-0.00011779017714763624
-8421.01131405693,-426039.6351449543,114077.03029572265,383222.58595511294,20.04910718572185,11.755756720236183,524.008793126137,37.06529429051235,3.021908030409161e-06,-1.465751675339868e-06,1.2233501814823115e-05,-0.00011804706101177303
-8403.34391804215,-425181.0312661441,113840.97785390158,382463.0585117211,20.024815951526364,11.812831513433947,540.0465269275027,37.02040627766882,3.0160035881968156e-06,-1.462857154781455e-06,1.2232297342124984e-05,-0.00011811676219056987
-8404.82968918888,-425298.51242265967,113865.60864158746,382581.36633790197,20.101577199579253,11.87915916657571,562.1576721183759,37.16229414406422,3.0170678328341403e-06,-1.4633377047031333e-06,1.2260380442016377e-05,-0.0001185075602341456
-8371.881734910803,-423713.6952696098,113431.83625623601,381162.70189360215,20.064004718143693,11.993634490148485,594.7006099259695,37.09259547479418,3.0063393224427793e-06,-1.4580718139739612e-06,1.223957744049447e-05,-0.00011868022582951029
-8322.613348678256,-421280.9994724461,112772.90801631768,378983.3766597087,19.92164132483994,12.08263055576364,617.9333104477895,36.82925978569553,2.9894571424369924e-06,-1.449835699646345e-06,1.2193380751239566e-05,-0.00011848033148445628
-8310.012199647163,-420711.9368829618,112610.68189441337,378487.7772781885,19.974048221545775,12.190101988176185,653.9888504501664,36.926020111671086,2.985832948300065e-06,-1.448020450463867e-06,1.2212899893939182e-05,-0.00011890555686317912
-8296.940062469675,-420132.71695262997,112443.28170259812,377989.05220222333,20.051385638101518,12.323984482351014,699.8982768259124,37.06883233188137,2.982217888817467e-06,-1.4461964469241388e-06,1.2243793249950038e-05,-0.00011947154437755056
-8267.631119463582,-418728.5039749363,112057.23147625262,376739.55778514955,20.03941700145778,12.447744983203822,740.1382697421204,37.04644707103484,2.9727597094436932e-06,-1.4415442961088584e-06,1.2238875481664154e-05,-0.00011974713313985994
-8248.318225947423,-417796.51499778975,111800.0760125389,375918.219600914,20.031195116862467,12.529501994984512,767.2715384424301,37.03117747376811,2.966418788585327e-06,-1.4384270319165332e-06,1.2245795598738593e-05,-0.00011992854287216247
-8222.575108340223,-416532.54812352435,111454.6440403263,374798.3297131155,19.983326217821595,12.603355738333967,791.1433150669824,36.94264424544312,2.9576788638366603e-06,-1.434150926563815e-06,1.2242151973469662e-05,-0.00011997179247303456
-8199.656557520686,-415438.2099360082,111150.68106563148,373838.81523319276,19.997808149025673,12.723920303815568,834.5378997212003,36.96927681875068,2.9503145717769503e-06,-1.4305179643870206e-06,1.2260885180814174e-05,-0.00012032104030103175
-8147.51483590063,-412868.1398166978,110455.032998455,371535.0128637881,19.861685281004004,12.836788314774278,868.1837839647317,36.71729524915106,2.932558805070998e-06,-1.4218499272761048e-06,1.2214260275553985e-05,-0.00012019745451018933
-8103.637599375362,-410701.68166596553,109868.31220398453,369596.68489796575,19.747049684246235,12.931520856182528,898.3884871233674,36.50512757385404,2.917563526023698e-06,-1.4145302701666483e-06,1.2179919853705709e-05,-0.0001200926035162625
-8066.916971237408,-408895.3639459127,109377.80579710107,367984.61220134347,19.667220396276083,13.026310361625255,931.409940450792,36.357321696548716,2.9051105251503842e-06,-1.4084436662740018e-06,1.2159311546308188e-05,-0.00012009347632588506
-8033.104089325435,-407235.929225805,108926.5557328795,366505.462087593,19.60286855657782,13.122508083056058,966.7014269003466,36.238119964368025,2.893701398719775e-06,-1.4028628257440427e-06,1.2144502426030275e-05,-0.00012014544297166222
-8007.229949756563,-405975.0775931492,108582.59531001997,365383.5058274881,19.570609531982615,13.21252444272514,1001.9825181869984,36.17824048555072,2.88510213041493e-06,-1.3986477286397741e-06,1.2138744567894396e-05,-0.00012028015639537761
-7988.757980035247,-405093.69807142956,108339.69736345758,364603.76878512267,19.582906026618275,13.310800134252075,1043.7939505687893,36.20068941634408,2.87923324003451e-06,-1.3957524171687606e-06,1.2146829146396968e-05,-0.00012057385071788393
-7961.2660573062,-403757.4536453421,107974.88483598668,363415.3923246454,19.55717640332439,13.415331687548312,1086.9286609743058,36.152805954733566,2.870155985119301e-06,-1.3912990281987681e-06,1.2143614819923117e-05,-0.00012076738247461297
-7932.85160701687,-402381.8608738007,107598.30345320076,362195.2431300853,19.54458180966775,13.537169078534415,1139.1938198865691,36.12915255481493,2.860855818062881e-06,-1.3867294014151489e-06,1.2147400219114664e-05,-0.00012104766625004485
-7905.430751649939,-401041.12350164633,107232.83047993315,361004.0291161708,19.510180159793574,13.633838889086231,1180.186227773801,36.06527411909259,2.851693721450171e-06,-1.3822398875172515e-06,1.2144938425816305e-05,-0.0001211950790102182
-7884.960708499164,-400055.4431319613,106962.32937952805,360131.5777044752,19.514247976854914,13.734709742191438,1226.4889727950672,36.07246045494031,2.8450803348239213e-06,-1.3789840145564967e-06,1.2153033479519697e-05,-0.00012147378925095746
-7871.643291509208,-399429.33727509656,106789.0810457605,359578.68930350407,19.54427498166927,13.826739791258749,1271.190397913231,36.12760319108147,2.841005995246641e-06,-1.3769635377303394e-06,1.2164980287674522e-05,-0.0001218105559289988
-7842.15911391744,-397984.20624606044,106397.59618027028,358284.69674390304,19.492719614727438,13.917653091687958,1310.7141404118106,36.03187642228921,2.831126561827513e-06,-1.3721302561514269e-06,1.2146649061689632e-05,-0.00012189055191401803
-7803.542460201102,-396088.9479158722,105883.83051448307,356590.9678330741,19.426783282649698,14.03856573590909,1364.3161773868217,35.90946726443467,2.8181545946939108e-06,-1.3657837833157212e-06,1.2127882850676924e-05,-0.000122005899611544
-7766.456447634588,-394274.0125166065,105390.70580268998,354973.57795204344,19.380209592092953,14.171272385134186,1425.8777989847615,35.822833942895095,2.8057825014162606e-06,-1.3597229372127107e-06,1.2119808564621067e-05,-0.00012221427922020947
-7732.3724588332425,-392608.77840124327,104937.45502144091,353493.24811092176,19.349001589615515,14.304849826699012,1490.3194546341542,35.76458498637448,2.794460309942451e-06,-1.3541711993182927e-06,1.2120240836684482e-05,-0.00012247465713753538
-7702.796824590072,-391160.3656073423,104543.04283153736,352208.32378054183,19.32108372079878,14.420520734052866,1547.3168108614495,35.712537173351656,2.784588288551273e-06,-1.3493315526265418e-06,1.2124815915993812e-05,-0.00012269812364361225
-7674.899002769991,-389785.33419857605,104169.92293916289,350985.286622223,19.276282732498597,14.51213994530103,1591.6659554571029,35.62936483075847,2.775147371413352e-06,-1.3447127906367643e-06,1.21213989465202e-05,-0.0001228036955261124
-7647.370477657274,-388424.93255675206,103801.8649316514,349771.22534014785,19.221347571367925,14.592339186223542,1630.0650911372734,35.52746132586903,2.7657824032485746e-06,-1.3401365723726403e-06,1.2110312613993026e-05,-0.0001228463155938729
-7615.264444655973,-386835.2693006465,103373.05635786057,348347.31605405995,19.145788954043336,14.674795150709908,1668.810590002273,35.387359864723486,2.754818592434604e-06,-1.334784796246084e-06,1.2087626037167552e-05,-0.00012282940224606152
