F_1 (bot),F_2 (bot),F_1 (top),F_2 (top),elastic_energy,fracture_dissipation,undamaged_elastic_energy,external_work,"displacement 1 [0, 0.001, 0]","displacement 2 [0, 0.001, 0]","displacement 1 [0.0005, 0.00049, 0]","displacement 2 [0.0005, 0.00049, 0]","displacement 1 [0.0005, 0.00051, 0]","displacement 2 [0.0005, 0.00051, 0]"
0.0,0.0,0.0,0.0,0.0,0.055571203042918904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.74601443595169,-9806.07852585,33.93799938198583,9786.309882086749,0.0002930974456791267,0.05557120315959709,0.00030495074076471363,0.0005853643414211446,3.718282865562186e-12,6.000000001400391e-08,-1.4227653447369994e-08,2.4439116188821788e-08,-1.4225475077015587e-08,3.5563335513642695e-08
1622.9809917520236,-444300.3570858222,1540.3853334005742,443394.47797444306,0.6028723182022618,0.05620134166738604,0.635145241155494,1.204314831142095,1.768211017499591e-10,2.72386117516951e-06,-6.418163020236949e-07,1.0926792707000555e-06,-6.416711729865166e-07,1.6313987001394315e-06
2566.662725058716,-698097.4291281867,2433.6232226860707,696623.7954556663,1.497477856948802,0.06315607619687294,1.670086710100654,2.994533905742091,3.00599804200452e-10,4.3061208245790236e-06,-9.978538714442187e-07,1.6470196050364658e-06,-9.97131234531515e-07,2.6599719287416953e-06
2862.6062495415326,-770936.3116689984,2710.8695456721944,769212.0595520778,1.8436219268738034,0.07959186361321109,2.3839223693678258,3.691070831053181,5.664637642013013e-09,4.800697463901889e-06,-1.0958208134986527e-06,1.708170000439084e-06,-1.0902582440366936e-06,3.0877941727901042e-06
2782.7591133831756,-743538.0289826198,2633.1717504103926,741793.1539072808,1.727957360503061,0.09329073786774873,2.6565445001885846,3.4631829683656035,1.3243058685707876e-08,4.665403184883526e-06,-1.0719089363355884e-06,1.567436343047295e-06,-1.0507412608076867e-06,3.084145462004662e-06
2718.3767731098105,-722872.941690901,2570.8793497728648,721134.116459296,1.6407379714470702,0.10099881137670809,2.863549038102628,3.292922293296898,1.4568041758040976e-08,4.556607305665433e-06,-1.0571443784977895e-06,1.4833422532442192e-06,-1.027780502106068e-06,3.057384168847035e-06
2767.014471384399,-732360.2120788196,2615.5111456998493,730555.8000584595,1.6918433090688656,0.10865601119507873,3.419218085205291,3.39815961019443,1.5771483753326554e-08,4.637717149975866e-06,-1.0798527364356819e-06,1.466583137979899e-06,-1.0457283480942143e-06,3.154265566736111e-06
2814.2110803936575,-740956.511080304,2658.225291100147,739090.3593179183,1.7407752597725572,0.11763700036779169,4.0686471905370585,3.4977502218550107,1.2218539948107134e-08,4.716538372521273e-06,-1.093611310092377e-06,1.4497283266230668e-06,-1.0687056441743678e-06,3.2538233813122046e-06
2814.0640778962925,-737944.7054428398,2656.6601249801142,736055.0519934832,1.7335569331576781,0.12458417242233735,4.5278093004104685,3.483721873109602,9.062889067953072e-09,4.716189144533917e-06,-1.0894670894215023e-06,1.4194642262014142e-06,-1.0730595489354932e-06,3.2869025037150653e-06
