F_1 (bot),F_2 (bot),F_1 (top),F_2 (top),elastic_energy,fracture_dissipation,undamaged_elastic_energy,external_work,"displacement 1 [0, 0.001, 0]","displacement 2 [0, 0.001, 0]","displacement 1 [0.0005, 0.00049, 0]","displacement 2 [0.0005, 0.00049, 0]","displacement 1 [0.0005, 0.00051, 0]","displacement 2 [0.0005, 0.00051, 0]"
0.0,0.0,0.0,0.0,0.0,0.03367083449958474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.92968471012648,-9808.614837143945,37.06232853722758,9808.8460904105,0.0002948681721016889,0.033670834572096554,0.0003025988718507485,0.0005881585972586644,3.3838511654055485e-12,6.000000000243177e-08,-1.4292095789169212e-08,2.5615140739594947e-08,-1.4298739080744444e-08,3.434808516396704e-08
2212.3762149187123,-602235.737189278,2285.493543004682,602275.4024053168,1.1149875022036801,0.03562263330239716,1.1740568729737029,2.2253095955183335,2.837938184827274e-11,3.695082571155935e-06,-8.727094741175417e-07,1.5396959181607186e-06,-8.733712976666349e-07,2.1529855703542774e-06
2742.838051328561,-742356.1350346653,2841.512499245385,742465.9060513608,1.7043908115532882,0.044477760751744734,2.00937218588242,3.4051960392186005,3.7959621849786203e-11,4.582024644817925e-06,-1.0684147063778908e-06,1.8182591558090787e-06,-1.0690649057176592e-06,2.76063529822648e-06
2731.667398994286,-735482.5249450039,2836.730211877833,735642.2114683905,1.6818049526849697,0.05332370545335906,2.4554895769166016,3.3608091941016593,1.662981557462589e-09,4.563381217758424e-06,-1.0604879178008673e-06,1.731878238207564e-06,-1.0582394742049203e-06,2.827231548525697e-06
2684.9621672271664,-720509.5787023143,2792.0238073228725,720699.032719202,1.6194289467719178,0.05877877894890208,2.829936834118728,3.2366337178120563,3.3951957189795954e-10,4.485329417855168e-06,-1.0421080824972397e-06,1.657455089490506e-06,-1.0423513126867008e-06,2.8258400030366736e-06
2724.06469275811,-727566.2122683504,2838.9272803772506,727804.4262746338,1.6593632783128733,0.06665088593300521,3.7055768084121343,3.316333495590249,9.614361152181564e-10,4.551192890882842e-06,-1.0577086106006649e-06,1.6207753141667497e-06,-1.0567982976429163e-06,2.928063388046229e-06
2704.1091672272314,-720702.7195205209,2820.9458897028285,720958.9156940501,1.6317540455940118,0.07017148872179013,4.100368510376324,3.261162046463605,1.8489224333707822e-09,4.518017213067501e-06,-1.0515887865245887e-06,1.5829344394578092e-06,-1.0487137424336894e-06,2.931563779657606e-06
2700.9364660412793,-716910.3773589715,2822.6746845249286,717207.4351365323,1.6215617506309556,0.07707892475365624,4.721167214486526,3.2405441176965515,-2.1257393272991249e-10,4.513396135399491e-06,-1.049999027911034e-06,1.5371540688272205e-06,-1.0523493725195963e-06,2.9758533474346266e-06
2689.9411410043185,-712651.010608529,2813.645946643296,712964.8167969176,1.605507276098772,0.08021038225153454,5.066010015643749,3.2083598437418295,-1.385881159130528e-10,4.495352618119548e-06,-1.0463153893171737e-06,1.5115257375501751e-06,-1.0484259962631514e-06,2.983406766814574e-06
2686.240966625473,-710387.8309965349,2812.160570924522,710718.5003961454,1.5983648419407013,0.0832088540697969,5.5749233667844305,3.193982648458294,-1.2724136590384066e-10,4.489547297121123e-06,-1.0451304011751724e-06,1.4915958167514232e-06,-1.0471398926770893e-06,2.9975290802471017e-06
2677.668107923145,-706967.073264001,2805.3919630910027,707311.966492256,1.5857387410464447,0.08591350413790314,6.058690141908916,3.168665558221748,2.1941784638769073e-10,4.475576992537424e-06,-1.0422366845469675e-06,1.4711060101627222e-06,-1.043349114005811e-06,3.0036795892331824e-06
